S. No.,Monthly Rent,X - Mean,(X-MEAN)^2,,Monthly Rent,,,,,,,,,,,,,
126,47500,1929,3721041,,47500,,,,,,,,,,,,,
127,47700,2129,4532641,,47700,,,,,,,,,,,,,
128,47800,2229,4968441,,47800,,,,,,,,,,,,,
129,47800,2229,4968441,,47800,,,,,,,,,,,,,
130,48000,2429,5900041,,48000,,,,,,,,,,,,,
131,48100,2529,6395841,,48100,,,,,,,,,,,,,
132,48100,2529,6395841,,48100,,,,,,,,,,,,,
133,48100,2529,6395841,,48100,,,,,,,,,,,,,
134,48300,2729,7447441,,48300,,,,,,,,,,,,,
135,48600,3029,9174841,,48600,,,,,,,,,,,,,
136,48600,3029,9174841,,48600,,,,,,,,,,,,,
137,48700,3129,9790641,,48700,,,,,,,,,,,,,
138,48800,3229,10426441,,48800,,,,,,,,,,,,,
139,48900,3329,11082241,,48900,,,,,,,,,,,,,
140,49000,3429,11758041,,49000,,,,,,,,,,,,,
141,49000,3429,11758041,,49000,,,,,,,,,,,,,
142,49200,3629,13169641,,49200,,,,,,,,,,,,,
143,49400,3829,14661241,,49400,,,,,,,,,,,,,
144,49400,3829,14661241,,49400,,,,,,,,,,,,,
145,49500,3929,15437041,,49500,,,,,,,,,,,,,
146,49600,4029,16232841,,49600,,,,,,,,,,,,,
147,49700,4129,17048641,,49700,,,,,,,,,,,,,
148,49700,4129,17048641,,49700,,,,,,,,,,,,,
149,49800,4229,17884441,,49800,,,,,,,,,,,,,
150,49800,4229,17884441,,49800,,,,,,,,,,,,,
,,,,,Q3,,,,,,,,,,,,,
151,49900,4329,18740241,,49900,,,,,,,,,,,,,
152,50400,4829,23319241,,50400,,,,,,,,,,,,,
153,50600,5029,25290841,,50600,,,,,,,,,,,,,
154,50700,5129,26306641,,50700,,,,,,,,,,,,,
155,51100,5529,30569841,,51100,,,,,,,,,,,,,
156,51200,5629,31685641,,51200,,,,,,,,,,,,,
157,51300,5729,32821441,,51300,,,,,,,,,,,,,
158,51600,6029,36348841,,51600,,,,,,,,,,,,,
159,51700,6129,37564641,,51700,,,,,,,,,,,,,
160,51800,6229,38800441,,51800,,,,,,,,,,,,,
161,51900,6329,40056241,,51900,,,,,,,,,,,,,
162,51900,6329,40056241,,51900,,,,,,,,,,,,,
163,52000,6429,41332041,,52000,,,,,,,,,,,,,
164,52600,7029,49406841,,52600,,,,,,,,,,,,,
165,52600,7029,49406841,,52600,,,,,,,,,,,,,
166,53100,7529,56685841,,53100,,,,,,,,,,,,,
167,53200,7629,58201641,,53200,,,,,,,,,,,,,
168,53900,8329,69372241,,53900,,,,,,,,,,,,,
169,53900,8329,69372241,,53900,,,,,,,,,,,,,
170,54300,8729,76195441,,54300,,,,,,,,,,,,,
171,55000,9429,88906041,,55000,,,,,,,,,,,,,
172,55000,9429,88906041,,55000,,,,,,,,,,,,,
173,55100,9529,90801841,,55100,,,,,,,,,,,,,
174,55200,9629,92717641,,55200,,,,,,,,,,,,,
175,55400,9829,96609241,,55400,,,,,,,,,,,,,
176,55700,10129,102596641,,55700,,,,,,,,,,,,,
177,55800,10229,104632441,,55800,,,,,,,,,,,,,
178,56900,11329,128346241,,56900,,,,,,,,,,,,,
179,57200,11629,135233641,,57200,,,,,,,,,,,,,
180,57200,11629,135233641,,57200,,,,,,,,,,,,,
181,57700,12129,147112641,,57700,,,,,,,,,,,,,
182,57700,12129,147112641,,57700,,,,,,,,,,,,,
183,57800,12229,149548441,,57800,,,,,,,,,,,,,
184,58000,12429,154480041,,58000,,,,,,,,,,,,,
185,58200,12629,159491641,,58200,,,,,,,,,,,,,
186,58200,12629,159491641,,58200,,,,,,,,,,,,,
187,58300,12729,162027441,,58300,,,,,,,,,,,,,
188,58500,12929,167159041,,58500,,,,,,,,,,,,,
189,58600,13029,169754841,,58600,,,,,,,,,,,,,
190,58600,13029,169754841,,58600,,,,,,,,,,,,,
191,58600,13029,169754841,,58600,,,,,,,,,,,,,
192,58900,13329,177662241,,58900,,,,,,,,,,,,,
193,58900,13329,177662241,,58900,,,,,,,,,,,,,
194,58900,13329,177662241,,58900,,,,,,,,,,,,,
195,59100,13529,183033841,,59100,,,,,,,,,,,,,
196,59500,13929,194017041,,59500,,,,,,,,,,,,,
197,59600,14029,196812841,,59600,,,,,,,,,,,,,
198,59800,14229,202464441,,59800,,,,,,,,,,,,,
199,59800,14229,202464441,,59800,,,,,,,,,,,,,
200,59800,14229,202464441,,59800,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mean,45571,,,Q1,41200,,,,,,,,,,,,,
,,,,Q2,44950,,,,,,,,,,,,,
MEDIAN,44950,,,Q3,49850,,,,,,,,,,,,,
,,,,IQR,8650,,,,,,,,,,,,,
MODE,44600,,,,,,,,,,,,,,,,,
,,,,SK1,0.130530847,,,,,,,,,,,,,
RANGE,29700,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VARIANCE,55336559,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S.D.,7438.854683,,,,,,,,,,,,,,,,,
